"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming"
"1","BawFaw AudTst 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Audio Test","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"2","BawFaw Bridge 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","USA 3100","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"3","BawFaw BC 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","BC 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"4","BawFaw Cal 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","California 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"5","BawFaw Canada 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Canada 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"6","BawFaw CscdsE 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Cascades East","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"7","BawFaw Comm 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Comm 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"8","BawFaw DCI 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","DCI 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"9","BawFaw DCI 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","DCI 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"10","BawFaw I5","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","I5 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"11","BawFaw Local 1","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Local 1","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"12","BawFaw Local 2","440.73750","445.73750","D-Digital","High","12.5K","Off","Off","Local 2","Group Call","ChangeMe","Same Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","off"
